system:index,EVI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,class6,.geo
00000000000000000045_0,0.5691064881080763,0.8227889,0.0172225,0.02099000000000001,0.04345750000000001,0.03438250000000001,0.3536575,0.1658325,0.08313999999999999,324.48456482,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27649792741444,-3.5074996550124347]}"
00000000000000000046_0,0.40904175677923815,0.7578103,0.014169999999999988,0.018130000000000007,0.037847500000000006,0.034574999999999995,0.25094500000000003,0.13932250000000002,0.07082,324.0538943,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27676801075372,-3.507499864642264]}"
00000000000000000047_0,0.45213541928668444,0.7839822,0.0113925,0.015847499999999987,0.036087499999999995,0.034052499999999986,0.2812225,0.14575749999999998,0.06985750000000002,324.16327093999996,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27676780216204,-3.507771252084457]}"
00000000000000000048_0,0.3739886339288448,0.72458285,0.010017499999999985,0.01628750000000001,0.0381775,0.03831499999999999,0.2399175,0.14663749999999998,0.07750249999999997,322.14663914,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27784792769664,-3.5080434773917974]}"
00000000000000000049_0,0.44930042599757697,0.76048833,0.010429999999999995,0.016589999999999994,0.04144999999999999,0.03982749999999999,0.29274500000000003,0.16173500000000002,0.0804725,322.23208964,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27757784413668,-3.5080432680425107]}"
0000000000000000004a_0,0.38465852887488405,0.7135462,0.015270000000000006,0.020082500000000003,0.04024,0.0416425,0.2491025,0.1618175,0.085945,321.38100266000004,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27919834573958,-3.508044522964254]}"
0000000000000000004b_0,0.3256288449450244,0.6618809,0.016727500000000006,0.020027500000000004,0.04013,0.0443925,0.2181925,0.1531,0.0930125,322.53287539999997,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27919855364652,-3.507773135377595]}"
0000000000000000004c_0,0.4314345453618237,0.7537054,0.015682499999999988,0.020082500000000003,0.04013,0.038012500000000005,0.27066250000000003,0.144905,0.07645750000000001,322.24917974,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.279468637225804,-3.5077733442410928]}"
0000000000000000004d_0,0.3746354939376887,0.6793422,0.020659999999999984,0.02536250000000001,0.04441999999999999,0.0475275,0.24891000000000002,0.1644025,0.10271999999999998,324.13592678,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27946884503868,-3.507501956636646]}"
0000000000000000004e_0,0.41717284610525307,0.7037147,0.016122499999999984,0.022557500000000008,0.0474175,0.049699999999999994,0.2857875,0.17125,0.10010750000000002,331.13603174,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28433158895323,-3.5058773751035406]}"
